,_id,_source.covered_area,_source.floor,_source.lease_duration_expected,_source.location.lat,_source.location.lon,_source.lock_in_period,_source.maintenance_charges,_source.no_of_balconies,_source.no_of_bathrooms,_source.plot_area,_source.rent_expected,_source.security_deposit,_source.total_floors,_source.type_of_accomodation
87,cb8765e0-5946-5fda-db08-56c976fd8faa,1400.0,1,24.0,28.557533000000003,77.24408000000001,12.0,0.0,2.0,3.0,1800.0,50000.0,100000.0,3.0,3
88,a281e679-1dfc-730b-13f6-56e14204d2eb,1250.0,1,24.0,28.572923,77.219717,12.0,0.0,2.0,2.0,1800.0,35000.0,70000.0,2.0,2
89,62688d55-30c3-de63-b731-563b52af56b1,3200.0,1,24.0,28.570590999999997,77.27029399999999,12.0,6000.0,1.0,4.0,4500.0,70000.0,140000.0,3.0,4
90,9d001dbc-3ab0-b5c1-987a-5646e13a9451,2200.0,1,11.0,28.563409000000004,77.35045799999999,0.0,1500.0,3.0,3.0,2835.0,40000.0,120000.0,2.0,3
91,9869064b-fbd5-68a0-d6fa-56cecd07ef1b,1250.0,0,24.0,28.572923,77.219717,12.0,0.0,2.0,2.0,1800.0,40000.0,80000.0,2.0,2
92,14c59d9d-c29e-85be-7a14-563cb13bd9d3,4400.0,0,24.0,28.564196999999997,77.264569,12.0,11000.0,4.0,6.0,6750.0,175000.0,350000.0,2.0,5
93,2be813c1-df59-b79c-b51d-56643edaf776,1500.0,1,24.0,28.575736,77.230745,12.0,0.0,1.0,3.0,1953.0,83000.0,166000.0,3.0,3
94,9d7e715a-7b90-79ab-4917-565d3ba4ebaa,1800.0,0,36.0,28.579828999999997,77.166646,12.0,20000.0,3.0,4.0,2700.0,250000.0,750000.0,2.0,3
95,e85f7042-6e1c-d03e-1501-565161be07e8,2600.0,2,24.0,28.561801000000003,77.15841400000001,6.0,0.0,3.0,4.0,5400.0,150000.0,450000.0,2.0,4
96,e7f87031-9589-bba6-5eeb-56584851076b,2800.0,0,24.0,28.556139,77.27650600000001,12.0,0.0,0.0,3.0,4500.0,90000.0,270000.0,2.0,3
97,19eaebb7-0a3c-740c-2f70-5652c22bbf9d,2100.0,2,24.0,28.520090999999997,77.209175,12.0,0.0,3.0,4.0,2700.0,85000.0,250000.0,3.0,4
98,5841bdca-ef20-9d70-2b42-5664143416dc,1600.0,2,24.0,28.558215999999998,77.36806,12.0,0.0,2.0,2.0,2153.0,19000.0,38000.0,2.0,3
99,5659dbf5-4e30-d293-f0e7-5663007a8c24,1500.0,1,36.0,28.543879999999998,77.25478100000001,11.0,0.0,3.0,3.0,1980.0,40000.0,80000.0,2.0,3
100,71de57cb-6323-1b08-89c9-5704b029e6e2,2100.0,3,24.0,28.537754,77.199895,12.0,8000.0,4.0,4.0,3600.0,125000.0,250000.0,3.0,4
101,52ff6a35-f429-4827-fe72-56fa1c262152,2400.0,2,24.0,28.559956,77.19852,12.0,0.0,1.0,2.0,4500.0,100000.0,200000.0,2.0,2
102,13c951c8-c80a-fc41-166d-5704e53fd2c0,1200.0,1,24.0,28.561545000000002,77.190991,12.0,0.0,2.0,2.0,1800.0,55000.0,110000.0,2.0,2
103,75b93112-2d37-8c54-ecd6-56e3de656b42,1300.0,2,24.0,28.563285999999998,77.19115500000001,12.0,7500.0,2.0,3.0,2250.0,75000.0,150000.0,3.0,2
104,c7027806-0694-6b8a-cd42-56e145206fa5,1200.0,1,24.0,28.561293,77.15828499999999,12.0,0.0,1.0,1.0,3600.0,55000.0,110000.0,2.0,1
