,_id,_source.covered_area,_source.floor,_source.lease_duration_expected,_source.location.lat,_source.location.lon,_source.lock_in_period,_source.maintenance_charges,_source.no_of_balconies,_source.no_of_bathrooms,_source.plot_area,_source.rent_expected,_source.security_deposit,_source.servant_room,_source.servant_room_with_toilet,_source.total_floors,_source.type_of_accomodation
221,1f5e0c28-c275-918e-c244-56a220190d99,2000,3,36,28.556716,77.233832,12,10000,2,4,2700,80000,160000.0,1,1,3.0,4
222,6f6c5718-9828-90f6-19b4-569cefa11624,2250,3,36,28.544159,77.250386,12,15000,3,4,2880,250000,500000.0,1,1,3.0,4
223,20a774f3-1df3-698d-1ba3-5678ec3f75a6,1350,2,24,28.564175,77.196636,12,0,2,3,1890,90000,180000.0,1,1,3.0,3
224,794c274a-0044-32e8-23dd-56a4b5dfc17e,1600,2,24,28.542898,77.229721,12,0,2,3,2475,100000,300000.0,1,1,2.0,3
225,7fecfeb3-5244-ed8d-5cdd-56a4b8d55a61,1400,1,24,28.544244,77.228426,12,0,1,1,2340,45000,90000.0,0,0,2.0,2
226,63a5073d-9844-4158-855d-5690aefdf7e3,1400,2,36,28.566291,77.238558,12,0,4,3,3600,40000,80000.0,0,0,2.0,3
227,58bbd226-422b-e510-23bb-569f458a15a8,450,1,24,28.535796,77.23913,12,0,1,1,2250,11000,11000.0,0,0,2.0,1
228,95febe15-8246-e489-b2cf-56a0ac73b8c3,7500,10,24,28.503322,77.100569,12,40000,4,6,8100,350000,1000000.0,1,1,12.0,5
229,8fdb870b-7420-d85c-500b-569a2dda3045,2000,3,36,28.572604,77.228548,12,15000,1,3,2925,150000,450000.0,1,1,3.0,3
230,bf06404d-8531-f3a7-a5ec-569a30c4ea79,2000,2,36,28.57238,77.22909,12,0,1,3,2925,120000,240000.0,1,1,3.0,3
231,b1d69ce5-3b13-9766-26dd-56976479a085,1500,3,24,28.577342,77.230254,12,2500,2,3,1950,85000,225000.0,1,1,3.0,3
232,58e7996b-a9c7-ddfb-a4ef-566a88ad638f,2100,2,24,28.535468,77.251519,12,0,3,3,2844,95000,190000.0,1,1,3.0,4
233,9e42eccb-f2da-f280-fbe6-565da865eed6,1200,20,24,28.64457,77.382119,12,1000,2,2,1400,15000,30000.0,0,0,20.0,3
234,d4837477-b726-ed80-47f3-569e0a6ed21c,1000,0,11,28.534106,77.250226,0,0,2,3,1440,35000,70000.0,0,0,3.0,2
235,a5d0a6d4-baf5-f016-d75d-569a0148328a,1800,2,36,28.548575,77.243509,12,0,2,3,2700,60000,120000.0,1,1,2.0,3
236,6ea9c125-76c8-75fa-f94b-56b5e30fae4d,1000,1,24,28.527877,77.245557,12,0,2,2,9000,35000,105000.0,0,0,2.0,2
237,3e4c0938-2a93-0e45-1408-56d6c3f156e7,3000,0,24,28.54806,77.235435,12,7000,5,5,4500,250000,500000.0,0,0,3.0,5
238,72cdb509-1a6e-8498-0ba3-56c977d3db24,1500,1,24,28.556998,77.242033,12,0,2,3,2250,55000,110000.0,0,0,2.0,3
239,12830bed-af5d-edb6-36de-564042037d06,2000,1,24,28.57058,77.23438,18,0,4,3,2925,200000,600000.0,1,1,2.0,3
240,6f791bec-ac75-ce60-92b5-56545d34bf4b,2100,3,24,28.55424,77.201156,12,0,2,4,2799,150000,300000.0,1,1,3.0,4
241,e7c14464-9906-12de-28da-565bdd3d3450,3100,1,24,28.563942,77.166585,12,5000,2,4,5400,130000,260000.0,1,1,2.0,4
242,3fe7f51b-a302-27e8-e5b3-56597e295d34,2100,1,36,28.567722,77.198672,24,10000,3,3,2700,130000,390000.0,1,1,3.0,3
243,dc6bc62c-4fa2-05f6-6b39-56e8faacf11e,1500,3,24,28.566287,77.249971,12,3000,2,3,1800,55000,110000.0,1,1,3.0,3
244,6f6a51cf-87e6-dfa8-7b8e-56d80487d628,500,2,24,28.559376,77.219103,12,0,1,1,1944,16000,32000.0,0,0,2.0,1
245,33f074fb-9411-7c47-1df8-5661a85e3b36,2300,2,24,28.562885,77.158106,12,0,2,3,3960,110000,220000.0,1,1,2.0,3
246,3cf9287e-ae16-f61c-b18d-566f98695312,2200,2,60,28.568876,77.269837,36,1000,3,3,4500,80000,240000.0,1,1,2.0,4
247,7f89535c-cd2d-5736-0e44-56643f6e661c,3300,1,24,28.566638,77.21889,12,8000,4,5,4500,200000,400000.0,1,1,2.0,4
248,a649b00c-40a9-8866-e87e-5666dbd6ed29,1700,8,24,28.594121,77.036643,12,40000,4,5,2300,35000,70000.0,0,0,10.0,4
249,4bb80e2b-df85-322c-4e40-566803a70f86,2600,1,24,28.529726,77.203768,6,0,3,4,3600,250000,750000.0,1,1,3.0,4
250,546970fc-6d1e-ee15-64ef-56680640fd3a,2300,1,24,28.567185,77.268717,12,10000,2,3,4500,80000,240000.0,1,1,1.0,3
251,98889557-180a-17ce-8182-565ea9bb9f82,1500,2,24,28.580139,77.166196,12,2000,2,3,2385,60000,120000.0,0,0,2.0,3
252,7b7b91b6-9b89-032e-6c9c-566440f5a612,2100,1,24,28.568127,77.228088,12,5000,1,3,2925,75000,225000.0,1,1,2.0,3
253,b54c07f5-bf04-911f-82d4-5662fffd645c,1500,2,12,28.544115,77.254118,12,0,0,3,2250,65000,130000.0,0,0,2.0,3
254,89fea5b1-a0e8-b55c-118b-5704df06c452,1600,2,24,28.557361,77.221118,12,0,2,2,3600,70000,70000.0,0,0,2.0,3
255,9a39bdd9-174b-0ec4-4541-56dfca78c8d2,3000,1,24,28.54754,77.19793,12,0,3,4,4500,200000,400000.0,1,1,2.0,4
256,2a426d9d-9c5d-48ce-547f-56712033db4d,700,0,24,28.559822,77.206831,12,0,0,2,2700,35000,70000.0,0,0,1.0,2
257,b4959d85-d150-e904-72ef-566811c40889,3000,0,24,28.563701,77.269008,12,10000,0,4,4500,130000,390000.0,1,1,1.0,3
258,bc960657-7f1d-1fd6-0819-56dbdb0a5793,1200,2,24,28.573291,77.221942,12,0,1,2,2700,35000,70000.0,0,0,2.0,2
259,d113f72b-d789-6355-37ec-56f915a5d421,700,1,24,28.578208,77.19484,12,0,1,1,2880,18000,36000.0,0,0,3.0,1
260,54866318-5474-8f2e-a01f-566ec00f3494,1900,1,24,28.572453,77.233435,12,0,1,2,2925,75000,150000.0,0,0,2.0,3
261,70aaefb5-bbfd-af86-cfa2-566d521d4851,1250,2,24,28.557056,77.246552,12,0,2,2,1800,40000,80000.0,1,1,2.0,2
262,7104ae64-ba35-b5cf-6ae2-56f66c7b2248,1400,0,24,28.563583,77.2079928,12,0,1,2,2250,32000,64000.0,0,0,2.0,2
263,f23bb3c2-c226-2911-be3b-56e257d370fc,1800,2,24,28.563286,77.191155,12,0,2,3,2700,65000,130000.0,0,0,2.0,3
264,8a5c712a-7d63-145f-d4a8-56711d74fa0a,5000,2,24,28.558773,77.202821,12,20000,7,6,6480,300000,600000.0,1,1,3.0,5
265,168d6094-a178-4247-d3dc-566fd80c977c,2200,0,24,28.555746,77.20444,12,12500,2,4,2925,125000,250000.0,1,1,2.0,3
266,e25baf0c-0e69-7324-0cf1-56aa173ff273,4750,10,36,28.461203,77.099753,12,10000,6,6,5500,160000,320000.0,1,1,11.0,5
267,3eb297db-cea6-760a-107f-566c24181205,2048,0,24,28.577116,77.238279,12,15000,1,4,2997,200000,600000.0,1,1,3.0,4
268,57a6d7e0-9e5e-1bb8-3ecd-5674112458c6,3500,0,24,28.54387,77.212146,12,4000,0,4,10800,90000,270000.0,0,0,2.0,3
269,160c889f-f50a-1df4-2c96-567a39d6d0ee,3000,3,24,28.56727,77.260747,12,0,2,4,4500,130000,260000.0,0,0,3.0,4
270,5f70b9c2-8b24-fad7-610f-5677e9442813,1400,0,24,28.531743,77.20693,12,0,0,3,1800,65000,130000.0,0,0,3.0,3
271,28d9ce96-e564-3d84-528a-566fd8b26428,1200,1,12,28.554744,77.204681,12,0,3,1,2880,29000,58000.0,0,0,1.0,1
272,28e6532a-1d9d-9149-092a-570ded82f24f,2200,2,24,28.559213,77.257144,12,0,2,4,3150,70000,140000.0,0,0,2.0,4
273,d86492d4-c0eb-cf7c-b6ff-5704c7fbc6d9,1700,2,24,28.567203,77.228859,12,2500,2,2,2925,100000,200000.0,1,1,2.0,3
274,7ce44ddf-86d8-e1a8-55a9-5704f954d0a5,1200,2,24,28.54404,77.253424,12,0,2,3,1800,60000,120000.0,0,0,3.0,3
275,4ede221b-0d28-f164-2517-5662f9508d35,5600,0,36,28.53558,77.237595,12,0,6,12,1944,500000,1500000.0,1,1,3.0,11
276,36ff3fcb-ba78-521a-4861-5672c8ebe0ff,2500,1,24,28.549512,77.202268,12,3000,1,2,4500,135000,270000.0,0,0,3.0,2
277,2416bfa2-434f-ba31-5c28-56cebba9e913,5000,0,24,28.562736,77.160849,12,0,4,5,5400,500000,1000000.0,1,1,1.0,5
278,203c4559-ae16-83f8-c68f-56ffa9ce6331,2800,2,24,28.5666055,77.273058,12,0,5,4,4500,200000,400000.0,1,1,3.0,4
279,2391c31e-dd70-aac6-37e3-5694e6bba14b,2000,0,24,28.58109,77.164552,12,15000,2,5,2700,165000,330000.0,1,1,3.0,4
280,23ea6b76-7e52-6dfd-fe7d-56a8c3eabf44,2000,1,36,28.546686,77.201582,12,8000,5,4,4500,175000,525000.0,1,1,3.0,4
281,12f9b29e-ea9b-1dd0-5284-56d57826e722,1800,2,36,28.561064,77.163798,12,0,2,4,3600,125000,250000.0,1,1,2.0,3
282,15928208-b159-9225-8c3a-56ed4938c146,2000,2,24,28.560484,77.153435,12,10000,2,4,3600,120000,240000.0,1,1,2.0,4
283,18f39951-6173-8ff0-6bef-56deb6232e38,1800,0,24,28.5500505,77.2019966,12,0,0,3,2700,150000,300000.0,1,1,2.0,3
284,1609f949-cbc4-cc4a-3d91-56fe21c84e07,2250,2,24,28.5625366,77.1530803,12,0,4,4,4050,200000,400000.0,1,1,3.0,4
285,21210ba1-b59f-0288-94f6-56f66d9a9893,3000,0,24,28.5663373,77.207641,12,0,0,4,9000,225000,450000.0,1,1,3.0,4
286,94ef0f40-781c-1061-350c-56cbfd15e607,1450,0,24,28.562024,77.166036,12,0,1,3,2250,95000,190000.0,1,1,2.0,3
287,96a06511-c267-f649-db72-56e954015766,2200,0,24,28.65521,77.121763,12,0,0,4,3600,175000,350000.0,1,1,2.0,4
288,ae1309db-fc10-9c8f-cd6e-56c060918d12,5000,0,24,28.559574,77.21538,12,0,2,5,2700,400000,800000.0,1,1,2.0,6
289,b01e9556-a905-2570-4b2a-56ea6df1d404,2000,1,24,28.559261,77.15984,12,10000,2,3,3600,100000,200000.0,1,1,2.0,3
290,b1c41dbc-7621-87e5-af4e-56bdb086b489,1800,2,24,28.570055,77.271781,12,12000,3,3,2700,100000,200000.0,1,1,3.0,3
291,b664cb7d-e362-eb0f-7498-570642ee0d91,3500,0,24,28.57949,77.169421,12,0,0,4,5400,300000,600000.0,1,1,3.0,3
292,c26442c5-fdfb-1c4b-d56d-56aafad0145c,1500,1,36,28.539608,77.234936,12,0,3,3,1800,70000,140000.0,1,1,3.0,3
293,9b818e63-8c6c-28d3-4401-56a4b89e3d2f,1200,3,24,28.543404,77.228342,12,0,1,2,2385,60000,120000.0,1,1,3.0,2
294,9eb2185d-b32a-10a0-411a-56e4296f95b3,1600,0,24,28.5661319,77.2239419,12,0,2,3,2250,75000,150000.0,1,1,3.0,3
295,9ede0464-ea05-91f8-bb0c-5651ac1d3920,2200,0,24,28.559142,77.162504,12,0,0,4,3600,225000,450000.0,1,1,2.0,4
296,a13e1642-7727-503e-0069-56a9fa2219cc,2000,2,24,28.555604,77.233548,12,7000,2,5,2700,100000,200000.0,1,1,3.0,4
297,a3903355-bed6-74bc-cc45-5704bc9f7ee4,1500,2,24,28.522206,77.215514,12,2000,3,4,2700,100000,200000.0,1,1,3.0,4
298,a6d8ae39-fc4a-cee7-c873-56c07e278bbc,2200,2,24,28.575,77.235366,12,13000,4,4,3600,120000,240000.0,1,1,2.0,4
299,a7dd205d-2f0e-9ade-259c-56bf1f5b6dbd,1400,2,24,28.537848,77.202601,12,0,2,3,1800,55000,110000.0,1,1,2.0,3
